lat,lng,country
53.3331,-6.2489,Ireland
53.55,-113.5,Canada
17.6704,75.9,India
47.2346,39.7127,Russia
48.48,35,Ukraine
36.62,101.77,China
40.83,114.93,China
37.075,37.385,Turkey
50.65,3.08,France
23.37,85.33,India
6.3106,-10.8048,Liberia
-2.516,-44.266,Brazil
52.35,4.9166,Netherlands
31.7784,35.2066,Israel
30.0687,-89.9288,United States
14.6211,-90.527,Guatemala
-27.58,-48.52,Brazil
22.2769,113.5678,China
-33.97,25.6,South Africa
4.81,7.01,Nigeria
46.83,130.35,China
35.8323,-78.6439,United States
54.79,56.04,Russia
26.88,112.59,China
41.3304,123.75,China
38.1662,-85.6488,United States
32.8204,34.98,Israel
24.5,39.58,Saudi Arabia
7.1301,-73.1259,Colombia
10.2469,-67.5958,Venezuela
51.92,4.48,Netherlands
34.73,36.72,Syria
50.93,6.95,Germany
39.9304,119.62,China
34.0546,-5.0004,Morocco
12.7797,45.0095,Yemen
16.06,108.25,Vietnam
-17.41,-66.17,Bolivia
26.2304,111.62,China
25.12,99.15,China
33.8704,130.82,Japan
58,56.25,Russia
31.28,48.72,Iran
26.2918,73.0168,India
22.17,-101,Mexico
46.49,30.71,Ukraine
38.468,106.273,China
12.1131,15.0491,Chad
48,37.83,Ukraine
-26.32,-48.8399,Brazil
30.7704,120.75,China
25.28,110.28,China
36.8667,43,Iraq
48.71,44.5,Russia
26.16,91.77,India
27.8333,114.4,China
37.87,113.57,China
-6.9838,-60.2699,Brazil
30.72,76.78,India
26.23,78.1801,India
34.7181,137.7327,Japan
34.65,50.95,Iran
20.9666,-89.6166,Mexico
45.3,130.97,China
34.38,118.35,China
20.63,-100.38,Mexico
27.62,113.85,China
3.0204,101.55,Malaysia
-7.1011,-34.8761,Brazil
41.1204,121.1,China
35.4676,-97.5136,United States
40.6804,14.7699,Italy
8.5,76.95,India
11.2504,75.77,India
8.13,4.24,Nigeria
10.81,78.69,India
6.1108,125.1747,Philippines
16.47,107.58,Vietnam
10.6317,122.9817,Philippines
32.0304,120.825,China
14.102,-87.2175,Honduras
23.0301,113.12,China
37.4386,127.1378,"Korea, South"
41.1909,-73.1958,United States
17.9771,-76.7674,Jamaica
19.7666,96.1186,Burma
43.715,7.265,France
42.9017,-78.8487,United States
36.179,44.0086,Iraq
56.014,92.866,Russia
11.595,43.148,Djibouti
-8,-34.85,Brazil
12.153,-86.2685,Nicaragua
51.2204,4.415,Belgium
37.875,32.475,Turkey
-6.57,106.75,Indonesia
13.5167,2.1167,Niger
41.7661,-72.6834,United States
27.8,114.93,China
33.9504,116.75,China
-5.095,-42.78,Brazil
26.2072,127.673,Japan
35.3204,113.87,China
37.6527,126.8372,"Korea, South"
28.77,104.57,China
5.1004,7.35,Nigeria
11.85,13.16,Nigeria
41.3275,19.8189,Albania
27.7167,85.3166,Nepal
32.07,36.1,Jordan
36.9204,34.88,Turkey
32.95,117.33,China
-32.8833,-68.8166,Argentina
15.36,75.125,India
-36.83,-73.05,Chile
11.08,7.71,Nigeria
36.08,114.35,China
10.3997,-75.5144,Colombia
12.31,76.66,India
47.9167,106.9166,Mongolia
32.65,-115.48,Mexico
43.62,122.27,China
55.0004,-1.6,United Kingdom
-4.04,39.6899,Kenya
-29.7096,-51.14,Brazil
-12.07,-77.135,Peru
43.25,-2.93,Spain
1.48,103.73,Malaysia
30.7,111.28,China
21.235,81.635,India
32.7814,-97.3473,United States
11.67,78.1801,India
21.8504,111.97,China
31.63,-8,Morocco
34.85,114.35,China
40.1436,124.3936,China
30.5135,47.8136,Iraq
21.8795,-102.2904,Mexico
32.1546,-110.8782,United States
34.672,133.9171,Japan
30.9525,118.7553,China
37.4989,126.7831,"Korea, South"
35.4304,119.45,China
-5.43,105.27,Indonesia
38.125,13.35,Italy
51.5,-3.225,United Kingdom
-1.9536,30.0605,Rwanda
22.3,-97.87,Mexico
35.25,113.22,China
-0.96,100.36,Indonesia
31.3349,75.569,India
-33.0478,-71.621,Chile
32.22,119.43,China
27.7,106.92,China
26.2504,105.93,China
33.7304,113.3,China
43.62,1.4499,France
31.8479,-106.4309,United States
-22.74,-43.47,Brazil
51.73,39.27,Russia
20.2704,85.8274,India
51.58,46.03,Russia
37.6804,112.73,China
33.3856,120.1253,China
42.8731,74.5852,Kyrgyzstan
59.9167,10.75,Norway
18.9211,-99.24,Mexico
36.0803,111.52,China
21.3294,-157.846,United States
4.3666,18.5583,Central African Republic
5.52,5.76,Nigeria
-26.816,-65.2166,Argentina
47.5804,7.59,Switzerland
34.38,47.06,Iran
40.6961,22.885,Greece
41.2628,-96.0495,United States
8.47,-13.2342,Sierra Leone
25.18,75.835,India
41.555,-8.4213,Portugal
25.453,78.5575,India
29.3801,113.1,China
52.9703,-1.17,United Kingdom
30.44,-9.62,Morocco
5.4171,100.4,Malaysia
28.3454,79.42,India
9.93,8.89,Nigeria
25.0904,104.89,China
-16.42,-71.53,Peru
10.32,123.9001,Philippines
53.416,-2.918,United Kingdom
24.375,88.605,Bangladesh
39.5204,116.68,China
31.3504,118.37,China
24.83,-107.38,Mexico
27.3204,103.72,China
39.485,-0.4,Spain
-15.5696,-56.085,Brazil
41.24,119.4011,China
